"Var1","Freq"
"NON-SEVERE WIND DAMAGE",1
"NON-TSTM WIND",1
"OTHER",3
"RAIN",4
"RAINSTORM",1
"RECORD COLD",4
"RECORD RAINFALL",1
"RECORD SNOW",2
"RIP CURRENT",1
"RIP CURRENTS",5
"RIVER AND STREAM FLOOD",2
"RIVER FLOOD",102
"RIVER FLOODING",17
"ROCK SLIDE",1
"ROUGH SURF",1
"RURAL FLOOD",1
"SEICHE",9
"SEVERE THUNDERSTORM",6
"SEVERE THUNDERSTORM WINDS",3
"SEVERE THUNDERSTORMS",2
"SEVERE TURBULENCE",1
"SLEET/ICE STORM",1
"SMALL HAIL",2
"SNOW",50
"SNOW ACCUMULATION",1
"SNOW AND HEAVY SNOW",2
"SNOW AND ICE",1
"SNOW AND ICE STORM",1
"SNOW FREEZING RAIN",10
"SNOW SQUALL",14
"SNOW SQUALLS",12
"SNOW/ BITTER COLD",1
"SNOW/ ICE",1
"SNOW/BLOWING SNOW",1
"SNOW/COLD",2
"SNOW/FREEZING RAIN",2
"SNOW/HEAVY SNOW",1
"SNOW/HIGH WINDS",2
"SNOW/ICE",1
"SNOW/ICE STORM",2
"SNOW/SLEET",5
"SNOW/SLEET/FREEZING RAIN",2
"SNOWMELT FLOODING",2
"STORM FORCE WINDS",1
"STORM SURGE",173
"STORM SURGE/TIDE",47
"STRONG WIND",3209
"STRONG WINDS",37
"THUDERSTORM WINDS",1
"THUNDEERSTORM WINDS",1
"THUNDERESTORM WINDS",1
"THUNDERSNOW",1
"THUNDERSTORM",15
"THUNDERSTORM  WINDS",2
"THUNDERSTORM DAMAGE TO",1
"THUNDERSTORM HAIL",1
"THUNDERSTORM WIND",43265
"THUNDERSTORM WIND 60 MPH",2
"THUNDERSTORM WIND 65 MPH",1
"THUNDERSTORM WIND 65MPH",1
"THUNDERSTORM WIND 98 MPH",1
"THUNDERSTORM WIND G55",1
"THUNDERSTORM WIND TREES",1
"THUNDERSTORM WIND/ TREE",1
